# Blotto run, B: 5, Rf: 0.50, Lf: 1.00 - 0.12 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.9750|0.5000|0.2883|2.1446| - [0.360, 0.127, 0.103, 0.079, 0.332]
|    2|0.8684|0.5000|0.2821|2.1623| - [0.360, 0.127, 0.103, 0.079, 0.332]
|    3|0.9737|0.5000|0.2638|2.1119| - [0.388, 0.057, 0.111, 0.085, 0.359]
|    4|0.7632|0.5000|0.2674|2.0464| - [0.388, 0.057, 0.111, 0.085, 0.359]
|    5|0.5000|0.5000|0.0000|1.9503| - [0.388, 0.057, 0.111, 0.085, 0.359]
|    6|0.9737|0.5000|0.1537|1.9278| - [0.420, 0.062, 0.120, 0.010, 0.388]
|    7|0.9211|0.5000|0.2483|1.8717| - [0.420, 0.062, 0.120, 0.010, 0.388]
|    8|0.9737|0.5000|0.2715|1.8027| - [0.421, 0.000, 0.120, 0.075, 0.383]
|    9|0.9211|0.5000|0.1823|1.7327| - [0.421, 0.000, 0.120, 0.075, 0.383]
|   10|0.9737|0.5000|0.2549|1.7180| - [0.423, 0.000, 0.121, 0.071, 0.385]
|   11|0.9737|0.5000|0.1537|1.7056| - [0.423, 0.000, 0.121, 0.071, 0.385]
|   12|0.9737|0.5000|0.1116|1.7038| - [0.423, 0.000, 0.121, 0.071, 0.385]
|   13|0.9211|0.5000|0.1823|1.7029| - [0.423, 0.000, 0.121, 0.071, 0.385]
|   14|0.9737|0.5000|0.2618|1.6945| - [0.447, 0.000, 0.128, 0.019, 0.406]
|   15|0.9211|0.5000|0.2366|1.6719| - [0.447, 0.000, 0.128, 0.019, 0.406]
|   16|0.7895|0.5000|0.2469|1.6286| - [0.447, 0.000, 0.128, 0.019, 0.406]
|   17|0.9737|0.5000|0.2054|1.5623| - [0.451, 0.000, 0.129, 0.020, 0.400]
|   18|0.9737|0.5000|0.1537|1.5370| - [0.469, 0.000, 0.134, 0.020, 0.377]
|   19|0.8684|0.5000|0.2202|1.5387| - [0.469, 0.000, 0.134, 0.020, 0.377]
|   20|0.7895|0.5000|0.2469|1.5401| - [0.469, 0.000, 0.134, 0.020, 0.377]
|   21|0.8158|0.5000|0.2412|1.5397| - [0.469, 0.000, 0.134, 0.020, 0.377]
|   22|0.7368|0.5000|0.2549|1.5412| - [0.469, 0.000, 0.134, 0.020, 0.377]
|   23|0.5263|0.5000|0.1116|1.5450| - [0.469, 0.000, 0.134, 0.020, 0.377]
|   24|0.9737|0.5000|0.1116|1.5442| - [0.492, 0.000, 0.128, 0.019, 0.361]
|   25|0.9211|0.5000|0.2049|1.5426| - [0.492, 0.000, 0.128, 0.019, 0.361]
|   26|0.6053|0.5000|0.2049|1.5295| - [0.492, 0.000, 0.128, 0.019, 0.361]
|   27|0.9737|0.5000|0.1116|1.5240| - [0.505, 0.000, 0.131, 0.020, 0.344]
|   28|0.9737|0.5000|0.1116|1.5240| - [0.505, 0.000, 0.131, 0.020, 0.344]
|   29|0.9737|0.5000|0.1116|1.5240| - [0.505, 0.000, 0.131, 0.020, 0.344]
|   30|0.9737|0.5000|0.1116|1.5240| - [0.505, 0.000, 0.131, 0.020, 0.344]
|   31|0.9474|0.5000|0.1534|1.5241| - [0.505, 0.000, 0.131, 0.020, 0.344]
|   32|0.9737|0.5000|0.1831|1.5236| - [0.551, 0.000, 0.113, 0.017, 0.319]
|   33|0.8947|0.5000|0.2686|1.5040| - [0.551, 0.000, 0.113, 0.017, 0.319]
|   34|0.9737|0.5000|0.2678|1.4721| - [0.609, 0.000, 0.099, 0.015, 0.278]
|   35|0.9211|0.5000|0.2371|1.4448| - [0.609, 0.000, 0.099, 0.015, 0.278]
|   36|0.8684|0.5000|0.2348|1.4309| - [0.609, 0.000, 0.099, 0.015, 0.278]
|   37|0.8158|0.5000|0.2510|1.4250| - [0.609, 0.000, 0.099, 0.015, 0.278]
|   38|0.5789|0.5000|0.1829|1.3798| - [0.609, 0.000, 0.099, 0.015, 0.278]
|   39|0.9737|0.5000|0.2056|1.3645| - [0.635, 0.000, 0.092, 0.014, 0.259]
|   40|0.9737|0.5000|0.2479|1.3639| - [0.635, 0.000, 0.092, 0.014, 0.259]
|   41|0.9737|0.5000|0.2233|1.3538| - [0.635, 0.000, 0.092, 0.014, 0.259]
|   42|0.9737|0.5000|0.2540|1.3296| - [0.638, 0.000, 0.092, 0.014, 0.256]
|   43|0.9737|0.5000|0.1831|1.3246| - [0.638, 0.000, 0.092, 0.014, 0.256]
|   44|0.9737|0.5000|0.2049|1.3219| - [0.640, 0.000, 0.091, 0.014, 0.256]
|   45|0.8684|0.5000|0.2673|1.3200| - [0.640, 0.000, 0.091, 0.014, 0.256]
|   46|0.9737|0.5000|0.2574|1.3217| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   47|0.9737|0.5000|0.2540|1.3180| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   48|0.9737|0.5000|0.2612|1.3170| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   49|0.9737|0.5000|0.2371|1.3143| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   50|0.8421|0.5000|0.2701|1.3135| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   51|0.8158|0.5000|0.2645|1.3130| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   52|0.8684|0.5000|0.2202|1.3128| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   53|0.7632|0.5000|0.2497|1.3127| - [0.640, 0.000, 0.090, 0.014, 0.256]
|   54|0.9737|0.5000|0.2561|1.3108| - [0.651, 0.000, 0.075, 0.014, 0.260]
