# Blotto run, B: 5, Rf: 1.00, Lf: 0.50 - 0.14 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.8750|0.5000|0.2077|2.0629| - [0.303, 0.254, 0.021, 0.299, 0.123]
|    2|0.9737|0.5000|0.2864|2.0632| - [0.303, 0.254, 0.021, 0.299, 0.123]
|    3|0.8947|0.5000|0.2794|2.0111| - [0.303, 0.254, 0.021, 0.299, 0.123]
|    4|0.9737|0.5000|0.2727|2.0052| - [0.313, 0.359, 0.028, 0.000, 0.301]
|    5|0.9737|0.5000|0.2228|2.0234| - [0.313, 0.359, 0.028, 0.000, 0.301]
|    6|0.8684|0.5000|0.2625|1.9215| - [0.313, 0.359, 0.028, 0.000, 0.301]
|    7|0.9737|0.5000|0.2612|1.8811| - [0.315, 0.357, 0.028, 0.000, 0.300]
|    8|0.9737|0.5000|0.2578|1.7712| - [0.316, 0.357, 0.028, 0.000, 0.299]
|    9|0.8947|0.5000|0.2479|1.7217| - [0.316, 0.357, 0.028, 0.000, 0.299]
|   10|0.9737|0.5000|0.2510|1.7220| - [0.325, 0.334, 0.029, 0.000, 0.312]
|   11|0.9737|0.5000|0.2570|1.7226| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   12|0.9737|0.5000|0.2049|1.7225| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   13|0.9737|0.5000|0.2748|1.7239| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   14|0.9737|0.5000|0.2650|1.7227| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   15|0.9737|0.5000|0.2612|1.7221| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   16|0.9737|0.5000|0.2228|1.7175| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   17|0.9737|0.5000|0.2739|1.7169| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   18|0.9737|0.5000|0.2054|1.7169| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   19|0.9737|0.5000|0.1116|1.7169| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   20|0.9737|0.5000|0.2348|1.7169| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   21|0.9737|0.5000|0.2348|1.7169| - [0.343, 0.343, 0.027, 0.000, 0.287]
|   22|0.9737|0.5000|0.2466|1.7097| - [0.352, 0.352, 0.000, 0.000, 0.295]
|   23|0.9737|0.5000|0.2549|1.7097| - [0.352, 0.352, 0.000, 0.000, 0.295]
|   24|0.9474|0.5000|0.1534|1.7025| - [0.352, 0.352, 0.000, 0.000, 0.295]
|   25|0.9474|0.5000|0.1534|1.7025| - [0.352, 0.352, 0.000, 0.000, 0.295]
