# Blotto run, B: 5, Rf: 0.50, Lf: 0.50 - 0.10 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.8750|0.5000|0.2171|1.8817| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    2|0.9737|0.5000|0.1677|1.8743| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    3|0.9737|0.5000|0.1530|1.9409| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    4|0.9474|0.5000|0.2479|1.9449| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    5|0.9474|0.5000|0.2727|1.8722| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    6|0.9737|0.5000|0.2029|1.7238| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    7|0.9737|0.5000|0.2752|1.6287| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    8|0.9474|0.5000|0.2661|1.6936| - [0.244, 0.232, 0.440, 0.051, 0.034]
|    9|0.8158|0.5000|0.2587|1.7356| - [0.244, 0.232, 0.440, 0.051, 0.034]
|   10|0.7632|0.5000|0.2674|1.7841| - [0.244, 0.232, 0.440, 0.051, 0.034]
|   11|0.9737|0.5000|0.1831|1.8851| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   12|0.9737|0.5000|0.2492|1.8758| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   13|0.7105|0.5000|0.2561|1.8851| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   14|0.7105|0.5000|0.2570|1.8876| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   15|0.6579|0.5000|0.2348|1.8886| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   16|0.5000|0.5000|0.0000|1.8928| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   17|0.5000|0.5000|0.0000|1.8928| - [0.280, 0.220, 0.419, 0.048, 0.032]
|   18|0.9737|0.5000|0.1116|1.8873| - [0.321, 0.107, 0.479, 0.055, 0.037]
|   19|0.9737|0.5000|0.2218|1.8652| - [0.321, 0.107, 0.479, 0.055, 0.037]
|   20|0.9737|0.5000|0.2612|1.8376| - [0.321, 0.107, 0.479, 0.055, 0.037]
