# Blotto run, B: 5, Rf: 0.00, Lf: 1.00 - 0.11 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.9750|0.5000|0.2883|2.1036| - [0.489, 0.121, 0.130, 0.222, 0.039]
|    2|0.9211|0.5000|0.2869|2.0692| - [0.489, 0.121, 0.130, 0.222, 0.039]
|    3|0.7105|0.5000|0.2587|1.9525| - [0.489, 0.121, 0.130, 0.222, 0.039]
|    4|0.6579|0.5000|0.2324|1.9197| - [0.489, 0.121, 0.130, 0.222, 0.039]
|    5|0.9737|0.5000|0.1116|1.9179| - [0.506, 0.117, 0.126, 0.215, 0.038]
|    6|0.9737|0.5000|0.2218|1.9115| - [0.506, 0.117, 0.126, 0.215, 0.038]
|    7|0.9737|0.5000|0.2561|1.9035| - [0.506, 0.117, 0.126, 0.215, 0.038]
|    8|0.9737|0.5000|0.2574|1.8882| - [0.564, 0.130, 0.140, 0.124, 0.042]
|    9|0.9737|0.5000|0.2049|1.8898| - [0.564, 0.130, 0.140, 0.124, 0.042]
|   10|0.9737|0.5000|0.1829|1.8767| - [0.564, 0.130, 0.140, 0.124, 0.042]
|   11|0.9474|0.5000|0.2233|1.8725| - [0.564, 0.130, 0.140, 0.124, 0.042]
|   12|0.8684|0.5000|0.2556|1.8561| - [0.564, 0.130, 0.140, 0.124, 0.042]
|   13|0.8947|0.5000|0.2218|1.8719| - [0.564, 0.130, 0.140, 0.124, 0.042]
|   14|0.6053|0.5000|0.2049|1.8266| - [0.564, 0.130, 0.140, 0.124, 0.042]
|   15|0.9737|0.5000|0.2218|1.8149| - [0.589, 0.136, 0.146, 0.129, 0.000]
|   16|0.9737|0.5000|0.2618|1.7343| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   17|0.9737|0.5000|0.2479|1.6798| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   18|0.8684|0.5000|0.2782|1.6481| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   19|0.8158|0.5000|0.2587|1.6121| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   20|0.7632|0.5000|0.2497|1.5843| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   21|0.6579|0.5000|0.2324|1.5648| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   22|0.5789|0.5000|0.1823|1.5502| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   23|0.5000|0.5000|0.0000|1.5355| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   24|0.5000|0.5000|0.0000|1.5355| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   25|0.5000|0.5000|0.0000|1.5355| - [0.626, 0.145, 0.092, 0.137, 0.000]
|   26|0.9737|0.5000|0.1116|1.5333| - [0.644, 0.138, 0.087, 0.131, 0.000]
|   27|0.9474|0.5000|0.1534|1.5311| - [0.644, 0.138, 0.087, 0.131, 0.000]
|   28|0.9737|0.5000|0.2049|1.5265| - [0.646, 0.137, 0.087, 0.130, 0.000]
|   29|0.8947|0.5000|0.2363|1.5214| - [0.646, 0.137, 0.087, 0.130, 0.000]
|   30|0.6316|0.5000|0.2202|1.5021| - [0.646, 0.137, 0.087, 0.130, 0.000]
|   31|0.5263|0.5000|0.1116|1.4926| - [0.646, 0.137, 0.087, 0.130, 0.000]
|   32|0.5000|0.5000|0.0000|1.4902| - [0.646, 0.137, 0.087, 0.130, 0.000]
|   33|0.9737|0.5000|0.1116|1.4901| - [0.647, 0.137, 0.087, 0.129, 0.000]
|   34|0.9211|0.5000|0.1823|1.4898| - [0.647, 0.137, 0.087, 0.129, 0.000]
|   35|0.9737|0.5000|0.1116|1.4901| - [0.647, 0.137, 0.087, 0.129, 0.000]
|   36|0.8421|0.5000|0.2443|1.4894| - [0.647, 0.137, 0.087, 0.129, 0.000]
|   37|0.7632|0.5000|0.2645|1.4890| - [0.647, 0.137, 0.087, 0.129, 0.000]
|   38|0.5789|0.5000|0.1829|1.4882| - [0.647, 0.137, 0.087, 0.129, 0.000]
|   39|0.5000|0.5000|0.0000|1.4878| - [0.647, 0.137, 0.087, 0.129, 0.000]
