# Blotto run, B: 5, Rf: 1.00, Lf: 0.00 - 0.16 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.7750|0.5000|0.1250|2.0876| - [0.347, 0.242, 0.220, 0.118, 0.073]
|    2|0.8158|0.5000|0.2128|2.1602| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    3|0.9474|0.5000|0.2836|2.1505| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    4|0.9474|0.5000|0.2374|2.1699| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    5|0.8947|0.5000|0.2735|2.1099| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    6|0.8684|0.5000|0.2735|2.0571| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    7|0.6842|0.5000|0.2412|1.9668| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    8|0.5000|0.5000|0.0000|1.9160| - [0.305, 0.268, 0.317, 0.001, 0.110]
|    9|0.5000|0.5000|0.0000|1.9160| - [0.305, 0.268, 0.317, 0.001, 0.110]
|   10|0.9737|0.5000|0.1537|1.9157| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   11|0.9211|0.5000|0.2049|1.9161| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   12|0.7105|0.5000|0.2469|1.9180| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   13|0.5000|0.5000|0.0000|1.9195| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   14|0.5000|0.5000|0.0000|1.9195| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   15|0.5000|0.5000|0.0000|1.9195| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   16|0.5000|0.5000|0.0000|1.9195| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   17|0.5000|0.5000|0.0000|1.9195| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   18|0.5526|0.5000|0.1537|1.9339| - [0.291, 0.273, 0.323, 0.001, 0.112]
|   19|0.9737|0.5000|0.1116|1.9131| - [0.311, 0.292, 0.346, 0.001, 0.050]
|   20|0.9737|0.5000|0.1116|1.9131| - [0.311, 0.292, 0.346, 0.001, 0.050]
|   21|0.9737|0.5000|0.1537|1.9119| - [0.311, 0.292, 0.346, 0.001, 0.050]
|   22|0.9737|0.5000|0.1537|1.9129| - [0.311, 0.292, 0.346, 0.001, 0.050]
|   23|0.8684|0.5000|0.2348|1.8875| - [0.311, 0.292, 0.346, 0.001, 0.050]
|   24|0.9737|0.5000|0.2612|1.8613| - [0.312, 0.293, 0.346, 0.000, 0.050]
|   25|0.9737|0.5000|0.2680|1.7997| - [0.312, 0.293, 0.346, 0.000, 0.050]
|   26|0.9737|0.5000|0.2588|1.7828| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   27|0.9737|0.5000|0.2650|1.7812| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   28|0.9211|0.5000|0.2767|1.7590| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   29|0.7105|0.5000|0.2556|1.6745| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   30|0.5789|0.5000|0.1829|1.6231| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   31|0.5526|0.5000|0.1534|1.6128| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   32|0.5000|0.5000|0.0000|1.5922| - [0.327, 0.307, 0.364, 0.001, 0.000]
|   33|0.9737|0.5000|0.1116|1.5921| - [0.330, 0.302, 0.367, 0.001, 0.000]
|   34|0.9474|0.5000|0.1534|1.5921| - [0.330, 0.302, 0.367, 0.001, 0.000]
|   35|0.9737|0.5000|0.2510|1.5917| - [0.332, 0.297, 0.369, 0.001, 0.000]
|   36|0.9737|0.5000|0.2699|1.5897| - [0.365, 0.228, 0.406, 0.001, 0.000]
|   37|0.9737|0.5000|0.2570|1.5892| - [0.365, 0.228, 0.406, 0.001, 0.000]
