# Blotto run, B: 5, Rf: 0.00, Lf: 0.00 - 0.13 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.7250|0.5000|0.1427|2.0777| - [0.169, 0.230, 0.224, 0.296, 0.080]
|    2|0.7105|0.5000|0.2573|2.0143| - [0.262, 0.008, 0.228, 0.320, 0.182]
|    3|0.7895|0.5000|0.2697|2.0804| - [0.262, 0.008, 0.228, 0.320, 0.182]
|    4|0.9211|0.5000|0.2498|2.0522| - [0.268, 0.494, 0.032, 0.022, 0.183]
|    5|0.8684|0.5000|0.1556|2.0092| - [0.268, 0.494, 0.032, 0.022, 0.183]
|    6|0.8684|0.5000|0.2202|1.9489| - [0.268, 0.494, 0.032, 0.022, 0.183]
|    7|0.9737|0.5000|0.2510|1.8418| - [0.273, 0.503, 0.015, 0.023, 0.186]
|    8|0.9737|0.5000|0.2588|1.8464| - [0.273, 0.503, 0.015, 0.023, 0.186]
|    9|0.9737|0.5000|0.1116|1.7383| - [0.273, 0.503, 0.015, 0.023, 0.186]
|   10|0.9737|0.5000|0.2218|1.7221| - [0.275, 0.507, 0.007, 0.023, 0.188]
|   11|0.9737|0.5000|0.2612|1.7096| - [0.280, 0.472, 0.034, 0.023, 0.191]
|   12|0.8684|0.5000|0.2737|1.7049| - [0.280, 0.472, 0.034, 0.023, 0.191]
|   13|0.9737|0.5000|0.2228|1.7495| - [0.251, 0.491, 0.035, 0.024, 0.199]
|   14|0.8158|0.5000|0.2412|1.7703| - [0.251, 0.491, 0.035, 0.024, 0.199]
|   15|0.6053|0.5000|0.2038|1.7679| - [0.251, 0.491, 0.035, 0.024, 0.199]
|   16|0.5000|0.5000|0.0000|1.7668| - [0.251, 0.491, 0.035, 0.024, 0.199]
|   17|0.5000|0.5000|0.0000|1.7668| - [0.251, 0.491, 0.035, 0.024, 0.199]
|   18|0.5000|0.5000|0.0000|1.7668| - [0.251, 0.491, 0.035, 0.024, 0.199]
|   19|0.9737|0.5000|0.1537|1.7737| - [0.257, 0.503, 0.036, 0.025, 0.180]
|   20|0.9474|0.5000|0.1829|1.7644| - [0.257, 0.503, 0.036, 0.025, 0.180]
|   21|0.6579|0.5000|0.2324|1.7564| - [0.257, 0.503, 0.036, 0.025, 0.180]
|   22|0.9737|0.5000|0.1537|1.7434| - [0.264, 0.516, 0.037, 0.000, 0.184]
|   23|0.9737|0.5000|0.2054|1.7338| - [0.273, 0.472, 0.038, 0.026, 0.191]
|   24|0.8421|0.5000|0.2715|1.7401| - [0.273, 0.472, 0.038, 0.026, 0.191]
|   25|0.7895|0.5000|0.2699|1.7652| - [0.273, 0.472, 0.038, 0.026, 0.191]
|   26|0.9737|0.5000|0.1537|1.7822| - [0.301, 0.520, 0.042, 0.029, 0.108]
|   27|0.8947|0.5000|0.2038|1.7758| - [0.301, 0.520, 0.042, 0.029, 0.108]
|   28|0.6579|0.5000|0.2348|1.7242| - [0.301, 0.520, 0.042, 0.029, 0.108]
|   29|0.5000|0.5000|0.0000|1.6984| - [0.301, 0.520, 0.042, 0.029, 0.108]
|   30|0.9737|0.5000|0.1116|1.6984| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   31|0.9737|0.5000|0.2056|1.6980| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   32|0.9737|0.5000|0.2218|1.6936| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   33|0.9737|0.5000|0.2510|1.6899| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   34|0.9737|0.5000|0.2650|1.6898| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   35|0.9737|0.5000|0.2715|1.6906| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   36|0.9737|0.5000|0.2218|1.6925| - [0.287, 0.531, 0.043, 0.030, 0.110]
|   37|0.9737|0.5000|0.2233|1.6973| - [0.306, 0.500, 0.046, 0.032, 0.117]
|   38|0.9737|0.5000|0.1831|1.6993| - [0.306, 0.500, 0.046, 0.032, 0.117]
|   39|0.8947|0.5000|0.2218|1.7074| - [0.306, 0.500, 0.046, 0.032, 0.117]
|   40|0.7895|0.5000|0.2469|1.7176| - [0.306, 0.500, 0.046, 0.032, 0.117]
|   41|0.9737|0.5000|0.2510|1.7272| - [0.308, 0.505, 0.046, 0.032, 0.109]
|   42|0.9737|0.5000|0.2588|1.7169| - [0.320, 0.524, 0.000, 0.033, 0.123]
|   43|0.8158|0.5000|0.2588|1.6657| - [0.320, 0.524, 0.000, 0.033, 0.123]
|   44|0.6316|0.5000|0.2202|1.6011| - [0.320, 0.524, 0.000, 0.033, 0.123]
|   45|0.6053|0.5000|0.2038|1.5907| - [0.320, 0.524, 0.000, 0.033, 0.123]
|   46|0.5000|0.5000|0.0000|1.5494| - [0.320, 0.524, 0.000, 0.033, 0.123]
|   47|0.5000|0.5000|0.0000|1.5494| - [0.320, 0.524, 0.000, 0.033, 0.123]
|   48|0.9737|0.5000|0.1116|1.5500| - [0.327, 0.514, 0.000, 0.034, 0.125]
|   49|0.9737|0.5000|0.1831|1.5504| - [0.299, 0.540, 0.000, 0.034, 0.127]
|   50|0.9737|0.5000|0.2231|1.5513| - [0.332, 0.507, 0.000, 0.034, 0.127]
|   51|0.9474|0.5000|0.2573|1.5536| - [0.332, 0.507, 0.000, 0.034, 0.127]
|   52|0.7632|0.5000|0.2611|1.5639| - [0.332, 0.507, 0.000, 0.034, 0.127]
|   53|0.9737|0.5000|0.2054|1.5688| - [0.314, 0.524, 0.000, 0.034, 0.128]
|   54|0.8947|0.5000|0.2038|1.5682| - [0.314, 0.524, 0.000, 0.034, 0.128]
|   55|0.9737|0.5000|0.1537|1.5694| - [0.280, 0.546, 0.000, 0.037, 0.137]
|   56|0.9737|0.5000|0.2348|1.5671| - [0.280, 0.546, 0.000, 0.037, 0.137]
|   57|0.8421|0.5000|0.2616|1.5655| - [0.280, 0.546, 0.000, 0.037, 0.137]
|   58|0.8421|0.5000|0.2110|1.5568| - [0.288, 0.561, 0.000, 0.010, 0.141]
|   59|0.9211|0.5000|0.2065|1.5559| - [0.282, 0.543, 0.000, 0.037, 0.138]
|   60|0.9737|0.5000|0.1829|1.5544| - [0.288, 0.561, 0.000, 0.010, 0.141]
|   61|0.9211|0.5000|0.2049|1.5424| - [0.288, 0.561, 0.000, 0.010, 0.141]
|   62|0.9737|0.5000|0.1116|1.5541| - [0.288, 0.561, 0.000, 0.010, 0.141]
|   63|0.9737|0.5000|0.1831|1.5519| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   64|0.9737|0.5000|0.2054|1.5531| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   65|0.8684|0.5000|0.2733|1.5379| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   66|0.7895|0.5000|0.2348|1.5300| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   67|0.6579|0.5000|0.2114|1.4915| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   68|0.6053|0.5000|0.2038|1.4981| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   69|0.5526|0.5000|0.1534|1.5031| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   70|0.5000|0.5000|0.0000|1.5078| - [0.290, 0.565, 0.000, 0.038, 0.106]
|   71|0.9737|0.5000|0.1116|1.4981| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   72|0.9737|0.5000|0.2049|1.4691| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   73|0.9474|0.5000|0.2053|1.4691| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   74|0.9737|0.5000|0.1829|1.4787| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   75|0.9474|0.5000|0.2464|1.4400| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   76|0.9737|0.5000|0.2049|1.3529| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   77|0.9737|0.5000|0.1829|1.3433| - [0.302, 0.587, 0.000, 0.000, 0.111]
|   78|0.9737|0.5000|0.1537|1.3227| - [0.305, 0.594, 0.000, 0.000, 0.100]
|   79|0.7105|0.5000|0.2049|1.3112| - [0.305, 0.594, 0.000, 0.000, 0.100]
|   80|0.8684|0.5000|0.1787|1.3033| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   81|0.9737|0.5000|0.2647|1.2937| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   82|0.8684|0.5000|0.1682|1.3024| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   83|0.9737|0.5000|0.2561|1.2950| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   84|0.9737|0.5000|0.2524|1.2923| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   85|0.9737|0.5000|0.2732|1.2935| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   86|0.9737|0.5000|0.2647|1.3188| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   87|0.9737|0.5000|0.2560|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   88|0.9737|0.5000|0.2633|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   89|0.9737|0.5000|0.2574|1.3264| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   90|0.9737|0.5000|0.2443|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   91|0.9737|0.5000|0.1831|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   92|0.9737|0.5000|0.1116|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   93|0.9737|0.5000|0.1116|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   94|0.9737|0.5000|0.1829|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   95|0.9737|0.5000|0.2732|1.3272| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   96|0.9737|0.5000|0.2707|1.3249| - [0.319, 0.576, 0.000, 0.000, 0.105]
|   97|0.9737|0.5000|0.2764|1.3227| - [0.271, 0.617, 0.000, 0.000, 0.112]
|   98|0.8947|0.5000|0.2743|1.3184| - [0.271, 0.617, 0.000, 0.000, 0.112]
|   99|0.8421|0.5000|0.2616|1.3276| - [0.271, 0.617, 0.000, 0.000, 0.112]
|  100|0.6579|0.5000|0.2363|1.3385| - [0.271, 0.617, 0.000, 0.000, 0.112]
|  101|0.9474|0.5000|0.1764|1.3019| - [0.205, 0.673, 0.000, 0.000, 0.122]
|  102|0.9474|0.5000|0.1534|1.2866| - [0.205, 0.673, 0.000, 0.000, 0.122]
|  103|0.7368|0.5000|0.2497|1.2569| - [0.205, 0.673, 0.000, 0.000, 0.122]
|  104|0.9737|0.5000|0.2218|1.2379| - [0.199, 0.678, 0.000, 0.000, 0.123]
|  105|0.8947|0.5000|0.2218|1.2215| - [0.199, 0.678, 0.000, 0.000, 0.123]
|  106|0.6316|0.5000|0.2202|1.2182| - [0.199, 0.678, 0.000, 0.000, 0.123]
|  107|0.9737|0.5000|0.1829|1.2136| - [0.158, 0.712, 0.000, 0.000, 0.129]
|  108|0.9737|0.5000|0.1116|1.2129| - [0.158, 0.712, 0.000, 0.000, 0.129]
|  109|0.7895|0.5000|0.2469|1.1889| - [0.158, 0.712, 0.000, 0.000, 0.129]
|  110|0.6053|0.5000|0.1827|1.1775| - [0.158, 0.712, 0.000, 0.000, 0.129]
|  111|0.5263|0.5000|0.0996|1.1785| - [0.158, 0.712, 0.000, 0.000, 0.129]
|  112|0.7632|0.5000|0.0656|1.2001| - [0.160, 0.723, 0.000, 0.000, 0.117]
|  113|0.6842|0.5000|0.1406|1.2064| - [0.192, 0.654, 0.000, 0.034, 0.119]
|  114|0.8421|0.5000|0.1922|1.1702| - [0.192, 0.654, 0.000, 0.034, 0.119]
|  115|0.7368|0.5000|0.2497|1.2642| - [0.192, 0.654, 0.000, 0.034, 0.119]
|  116|0.6579|0.5000|0.2324|1.3217| - [0.192, 0.654, 0.000, 0.034, 0.119]
|  117|0.9737|0.5000|0.1116|1.3874| - [0.151, 0.688, 0.000, 0.036, 0.125]
|  118|0.8158|0.5000|0.2510|1.3693| - [0.151, 0.688, 0.000, 0.036, 0.125]
|  119|0.9737|0.5000|0.2549|1.3563| - [0.151, 0.687, 0.000, 0.036, 0.125]
|  120|0.9474|0.5000|0.2053|1.3377| - [0.151, 0.687, 0.000, 0.036, 0.125]
|  121|0.9737|0.5000|0.1116|1.3314| - [0.151, 0.687, 0.000, 0.036, 0.125]
|  122|0.8684|0.5000|0.2202|1.3317| - [0.151, 0.687, 0.000, 0.036, 0.125]
|  123|0.9737|0.5000|0.2443|1.3321| - [0.150, 0.689, 0.000, 0.036, 0.125]
|  124|0.9737|0.5000|0.1537|1.3346| - [0.150, 0.689, 0.000, 0.036, 0.125]
|  125|0.9737|0.5000|0.2228|1.3247| - [0.157, 0.713, 0.000, 0.000, 0.130]
