# Blotto run, B: 20, Rf: 0.50, Lf: 1.00 - 0.24 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.9750|0.5000|0.2883|4.0365| - [0.103, 0.005, 0.071, 0.106, 0.050, 0.011, 0.024, 0.052, 0.047, 0.006, 0.097, 0.065, 0.027, 0.040, 0.067, 0.081, 0.009, 0.051, 0.055, 0.035]
|    2|0.9737|0.5000|0.2829|4.0878| - [0.103, 0.005, 0.071, 0.107, 0.050, 0.011, 0.024, 0.053, 0.047, 0.006, 0.098, 0.065, 0.027, 0.040, 0.063, 0.081, 0.009, 0.051, 0.055, 0.035]
|    3|0.9737|0.5000|0.2859|4.0515| - [0.108, 0.005, 0.074, 0.112, 0.053, 0.011, 0.026, 0.055, 0.049, 0.007, 0.103, 0.068, 0.028, 0.042, 0.070, 0.085, 0.009, 0.000, 0.058, 0.037]
|    4|0.9737|0.5000|0.2815|3.9961| - [0.108, 0.005, 0.074, 0.112, 0.053, 0.011, 0.026, 0.055, 0.049, 0.007, 0.103, 0.068, 0.028, 0.042, 0.070, 0.085, 0.009, 0.000, 0.058, 0.037]
|    5|0.9737|0.5000|0.2650|3.9537| - [0.108, 0.005, 0.074, 0.112, 0.053, 0.011, 0.026, 0.055, 0.049, 0.007, 0.103, 0.068, 0.028, 0.042, 0.070, 0.085, 0.009, 0.000, 0.058, 0.037]
|    6|0.9737|0.5000|0.2494|3.9256| - [0.115, 0.005, 0.079, 0.119, 0.056, 0.012, 0.027, 0.059, 0.052, 0.007, 0.109, 0.073, 0.030, 0.044, 0.012, 0.091, 0.010, 0.000, 0.061, 0.039]
|    7|0.9737|0.5000|0.2748|3.8960| - [0.116, 0.005, 0.080, 0.120, 0.056, 0.012, 0.027, 0.059, 0.053, 0.007, 0.110, 0.073, 0.030, 0.045, 0.012, 0.092, 0.010, 0.000, 0.053, 0.039]
|    8|0.9737|0.5000|0.2363|3.8786| - [0.117, 0.005, 0.081, 0.102, 0.057, 0.012, 0.028, 0.060, 0.053, 0.007, 0.111, 0.074, 0.031, 0.045, 0.012, 0.093, 0.010, 0.000, 0.062, 0.040]
|    9|0.9737|0.5000|0.2793|3.8694| - [0.126, 0.006, 0.000, 0.131, 0.061, 0.013, 0.030, 0.064, 0.057, 0.008, 0.119, 0.080, 0.033, 0.049, 0.013, 0.100, 0.011, 0.000, 0.058, 0.043]
|   10|0.9737|0.5000|0.2801|3.8668| - [0.126, 0.006, 0.000, 0.131, 0.061, 0.013, 0.030, 0.064, 0.057, 0.008, 0.119, 0.080, 0.033, 0.049, 0.013, 0.100, 0.011, 0.000, 0.058, 0.043]
|   11|0.7895|0.5000|0.2767|3.8305| - [0.126, 0.006, 0.000, 0.131, 0.061, 0.013, 0.030, 0.064, 0.057, 0.008, 0.119, 0.080, 0.033, 0.049, 0.013, 0.100, 0.011, 0.000, 0.058, 0.043]
|   12|0.5789|0.5000|0.1829|3.7830| - [0.126, 0.006, 0.000, 0.131, 0.061, 0.013, 0.030, 0.064, 0.057, 0.008, 0.119, 0.080, 0.033, 0.049, 0.013, 0.100, 0.011, 0.000, 0.058, 0.043]
|   13|0.5000|0.5000|0.0000|3.7725| - [0.126, 0.006, 0.000, 0.131, 0.061, 0.013, 0.030, 0.064, 0.057, 0.008, 0.119, 0.080, 0.033, 0.049, 0.013, 0.100, 0.011, 0.000, 0.058, 0.043]
|   14|0.9737|0.5000|0.1116|3.7690| - [0.180, 0.005, 0.000, 0.122, 0.058, 0.012, 0.028, 0.060, 0.054, 0.007, 0.112, 0.075, 0.031, 0.046, 0.012, 0.093, 0.010, 0.000, 0.054, 0.040]
|   15|0.9737|0.5000|0.2618|3.7427| - [0.191, 0.006, 0.000, 0.129, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.118, 0.079, 0.033, 0.048, 0.013, 0.099, 0.010, 0.000, 0.057, 0.042]
|   16|0.9737|0.5000|0.2735|3.7535| - [0.191, 0.006, 0.000, 0.129, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.118, 0.079, 0.033, 0.048, 0.013, 0.099, 0.010, 0.000, 0.057, 0.042]
|   17|0.9737|0.5000|0.2732|3.7540| - [0.191, 0.006, 0.000, 0.129, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.118, 0.079, 0.033, 0.048, 0.013, 0.099, 0.010, 0.000, 0.057, 0.042]
|   18|0.9737|0.5000|0.2819|3.7160| - [0.191, 0.006, 0.000, 0.129, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.118, 0.079, 0.033, 0.048, 0.013, 0.099, 0.010, 0.000, 0.057, 0.042]
|   19|0.9737|0.5000|0.2794|3.6854| - [0.191, 0.006, 0.000, 0.129, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.118, 0.079, 0.033, 0.048, 0.013, 0.099, 0.010, 0.000, 0.057, 0.042]
|   20|0.9737|0.5000|0.2576|3.6453| - [0.191, 0.006, 0.000, 0.130, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.119, 0.079, 0.033, 0.048, 0.013, 0.099, 0.009, 0.000, 0.057, 0.042]
|   21|0.9737|0.5000|0.2576|3.5850| - [0.210, 0.006, 0.000, 0.143, 0.067, 0.014, 0.033, 0.070, 0.000, 0.008, 0.131, 0.087, 0.036, 0.053, 0.000, 0.020, 0.012, 0.000, 0.063, 0.047]
|   22|0.9737|0.5000|0.2540|3.5901| - [0.210, 0.006, 0.000, 0.143, 0.067, 0.014, 0.033, 0.070, 0.000, 0.008, 0.131, 0.087, 0.036, 0.053, 0.000, 0.020, 0.012, 0.000, 0.063, 0.047]
|   23|0.9474|0.5000|0.2678|3.5823| - [0.210, 0.006, 0.000, 0.143, 0.067, 0.014, 0.033, 0.070, 0.000, 0.008, 0.131, 0.087, 0.036, 0.053, 0.000, 0.020, 0.012, 0.000, 0.063, 0.047]
|   24|0.9737|0.5000|0.2510|3.5300| - [0.222, 0.005, 0.000, 0.125, 0.059, 0.012, 0.028, 0.061, 0.000, 0.007, 0.114, 0.076, 0.031, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   25|0.9737|0.5000|0.2054|3.5017| - [0.222, 0.005, 0.000, 0.125, 0.059, 0.012, 0.028, 0.061, 0.000, 0.007, 0.114, 0.076, 0.031, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   26|0.8947|0.5000|0.2363|3.5046| - [0.222, 0.005, 0.000, 0.125, 0.059, 0.012, 0.028, 0.061, 0.000, 0.007, 0.114, 0.076, 0.031, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   27|0.6579|0.5000|0.2324|3.5254| - [0.222, 0.005, 0.000, 0.125, 0.059, 0.012, 0.028, 0.061, 0.000, 0.007, 0.114, 0.076, 0.031, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   28|0.5000|0.5000|0.0000|3.5423| - [0.222, 0.005, 0.000, 0.125, 0.059, 0.012, 0.028, 0.061, 0.000, 0.007, 0.114, 0.076, 0.031, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   29|0.5526|0.5000|0.1537|3.5441| - [0.222, 0.005, 0.000, 0.125, 0.059, 0.012, 0.028, 0.061, 0.000, 0.007, 0.114, 0.076, 0.031, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   30|0.9737|0.5000|0.1537|3.5445| - [0.224, 0.005, 0.000, 0.125, 0.059, 0.012, 0.029, 0.062, 0.000, 0.000, 0.115, 0.077, 0.032, 0.047, 0.013, 0.096, 0.009, 0.000, 0.056, 0.041]
|   31|0.9737|0.5000|0.1537|3.5383| - [0.228, 0.006, 0.000, 0.128, 0.060, 0.013, 0.029, 0.063, 0.000, 0.007, 0.117, 0.078, 0.032, 0.020, 0.013, 0.098, 0.009, 0.000, 0.057, 0.042]
|   32|0.9737|0.5000|0.2228|3.5347| - [0.228, 0.006, 0.000, 0.128, 0.060, 0.013, 0.029, 0.063, 0.000, 0.007, 0.117, 0.078, 0.032, 0.020, 0.013, 0.098, 0.009, 0.000, 0.057, 0.042]
|   33|0.9737|0.5000|0.1831|3.5381| - [0.230, 0.006, 0.000, 0.093, 0.061, 0.013, 0.029, 0.064, 0.000, 0.008, 0.118, 0.079, 0.033, 0.048, 0.013, 0.098, 0.009, 0.000, 0.057, 0.042]
|   34|0.9737|0.5000|0.2561|3.5366| - [0.232, 0.006, 0.000, 0.093, 0.061, 0.013, 0.021, 0.064, 0.000, 0.008, 0.119, 0.079, 0.033, 0.048, 0.013, 0.099, 0.009, 0.000, 0.058, 0.043]
|   35|0.9737|0.5000|0.2561|3.5160| - [0.232, 0.006, 0.000, 0.093, 0.061, 0.013, 0.021, 0.064, 0.000, 0.008, 0.119, 0.079, 0.033, 0.048, 0.013, 0.099, 0.009, 0.000, 0.058, 0.043]
|   36|0.9737|0.5000|0.2788|3.4837| - [0.234, 0.006, 0.000, 0.131, 0.062, 0.013, 0.030, 0.065, 0.000, 0.008, 0.120, 0.080, 0.033, 0.049, 0.013, 0.100, 0.000, 0.000, 0.058, 0.000]
|   37|0.9737|0.5000|0.2743|3.4592| - [0.240, 0.006, 0.000, 0.097, 0.063, 0.013, 0.022, 0.066, 0.000, 0.008, 0.123, 0.082, 0.000, 0.050, 0.014, 0.103, 0.009, 0.000, 0.060, 0.044]
|   38|0.9737|0.5000|0.2772|3.4586| - [0.240, 0.006, 0.000, 0.097, 0.063, 0.013, 0.022, 0.066, 0.000, 0.008, 0.123, 0.082, 0.000, 0.050, 0.014, 0.103, 0.009, 0.000, 0.060, 0.044]
|   39|0.9737|0.5000|0.2847|3.4651| - [0.242, 0.006, 0.000, 0.097, 0.064, 0.013, 0.022, 0.067, 0.000, 0.000, 0.124, 0.083, 0.034, 0.017, 0.014, 0.103, 0.009, 0.000, 0.060, 0.044]
|   40|0.9737|0.5000|0.2830|3.4704| - [0.258, 0.006, 0.000, 0.091, 0.060, 0.013, 0.021, 0.063, 0.000, 0.000, 0.116, 0.078, 0.032, 0.047, 0.013, 0.097, 0.009, 0.000, 0.056, 0.042]
|   41|0.9737|0.5000|0.2837|3.4791| - [0.258, 0.006, 0.000, 0.091, 0.060, 0.013, 0.021, 0.063, 0.000, 0.000, 0.116, 0.078, 0.032, 0.047, 0.013, 0.097, 0.009, 0.000, 0.056, 0.042]
|   42|0.9737|0.5000|0.2825|3.4597| - [0.260, 0.006, 0.000, 0.092, 0.060, 0.013, 0.021, 0.063, 0.000, 0.000, 0.117, 0.078, 0.032, 0.048, 0.013, 0.098, 0.000, 0.000, 0.057, 0.042]
|   43|0.9737|0.5000|0.2760|3.4181| - [0.275, 0.006, 0.000, 0.097, 0.064, 0.013, 0.000, 0.067, 0.000, 0.000, 0.124, 0.083, 0.000, 0.050, 0.014, 0.103, 0.000, 0.000, 0.060, 0.044]
|   44|0.9737|0.5000|0.2584|3.4103| - [0.299, 0.005, 0.000, 0.089, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.114, 0.076, 0.000, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   45|0.9737|0.5000|0.2489|3.3960| - [0.299, 0.005, 0.000, 0.089, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.114, 0.076, 0.000, 0.046, 0.013, 0.095, 0.009, 0.000, 0.055, 0.041]
|   46|0.9737|0.5000|0.2378|3.3212| - [0.303, 0.006, 0.000, 0.090, 0.044, 0.012, 0.021, 0.062, 0.000, 0.007, 0.115, 0.077, 0.000, 0.047, 0.013, 0.096, 0.009, 0.000, 0.056, 0.041]
|   47|0.9737|0.5000|0.2584|3.3047| - [0.376, 0.013, 0.000, 0.078, 0.051, 0.011, 0.018, 0.054, 0.000, 0.006, 0.100, 0.067, 0.000, 0.041, 0.011, 0.083, 0.008, 0.000, 0.048, 0.036]
|   48|0.9737|0.5000|0.2810|3.2928| - [0.376, 0.013, 0.000, 0.078, 0.051, 0.011, 0.018, 0.054, 0.000, 0.006, 0.100, 0.067, 0.000, 0.041, 0.011, 0.083, 0.008, 0.000, 0.048, 0.036]
|   49|0.9737|0.5000|0.2760|3.2879| - [0.376, 0.013, 0.000, 0.078, 0.051, 0.011, 0.018, 0.054, 0.000, 0.006, 0.100, 0.067, 0.000, 0.041, 0.011, 0.083, 0.008, 0.000, 0.048, 0.036]
|   50|0.9737|0.5000|0.2363|3.2926| - [0.376, 0.013, 0.000, 0.078, 0.051, 0.011, 0.018, 0.054, 0.000, 0.006, 0.100, 0.067, 0.000, 0.041, 0.011, 0.083, 0.008, 0.000, 0.048, 0.036]
|   51|0.9737|0.5000|0.2737|3.2745| - [0.376, 0.013, 0.000, 0.078, 0.051, 0.011, 0.018, 0.054, 0.000, 0.006, 0.100, 0.067, 0.000, 0.041, 0.011, 0.083, 0.008, 0.000, 0.048, 0.036]
|   52|0.9737|0.5000|0.2819|3.2264| - [0.390, 0.014, 0.000, 0.081, 0.053, 0.011, 0.019, 0.056, 0.000, 0.007, 0.103, 0.069, 0.000, 0.042, 0.011, 0.086, 0.008, 0.000, 0.050, 0.000]
|   53|0.9737|0.5000|0.2802|3.1681| - [0.390, 0.014, 0.000, 0.081, 0.053, 0.011, 0.019, 0.056, 0.000, 0.007, 0.103, 0.069, 0.000, 0.042, 0.011, 0.086, 0.008, 0.000, 0.050, 0.000]
|   54|0.9737|0.5000|0.2752|3.1219| - [0.390, 0.014, 0.000, 0.081, 0.053, 0.011, 0.019, 0.056, 0.000, 0.007, 0.103, 0.069, 0.000, 0.042, 0.011, 0.086, 0.008, 0.000, 0.050, 0.000]
|   55|0.9737|0.5000|0.2363|3.0563| - [0.390, 0.014, 0.000, 0.081, 0.053, 0.011, 0.019, 0.056, 0.000, 0.007, 0.103, 0.069, 0.000, 0.042, 0.011, 0.086, 0.008, 0.000, 0.050, 0.000]
|   56|0.9737|0.5000|0.2494|3.0312| - [0.418, 0.015, 0.000, 0.087, 0.057, 0.012, 0.020, 0.060, 0.000, 0.007, 0.111, 0.003, 0.000, 0.045, 0.012, 0.092, 0.008, 0.000, 0.054, 0.000]
|   57|0.9737|0.5000|0.2728|3.0193| - [0.418, 0.015, 0.000, 0.087, 0.057, 0.012, 0.020, 0.060, 0.000, 0.007, 0.111, 0.003, 0.000, 0.045, 0.012, 0.092, 0.008, 0.000, 0.054, 0.000]
|   58|0.9737|0.5000|0.2780|2.9858| - [0.425, 0.015, 0.000, 0.088, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.043, 0.075, 0.000, 0.046, 0.012, 0.094, 0.009, 0.000, 0.034, 0.000]
|   59|0.9737|0.5000|0.2727|2.9721| - [0.425, 0.015, 0.000, 0.088, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.043, 0.075, 0.000, 0.046, 0.012, 0.094, 0.009, 0.000, 0.034, 0.000]
|   60|0.8684|0.5000|0.2466|2.9802| - [0.425, 0.015, 0.000, 0.088, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.043, 0.075, 0.000, 0.046, 0.012, 0.094, 0.009, 0.000, 0.034, 0.000]
|   61|0.7368|0.5000|0.2549|2.9725| - [0.425, 0.015, 0.000, 0.088, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.043, 0.075, 0.000, 0.046, 0.012, 0.094, 0.009, 0.000, 0.034, 0.000]
|   62|0.9737|0.5000|0.2561|2.9668| - [0.427, 0.015, 0.000, 0.089, 0.058, 0.012, 0.020, 0.061, 0.000, 0.007, 0.043, 0.076, 0.000, 0.046, 0.007, 0.094, 0.009, 0.000, 0.035, 0.000]
|   63|0.9737|0.5000|0.2728|2.9416| - [0.441, 0.015, 0.000, 0.086, 0.056, 0.012, 0.020, 0.059, 0.000, 0.007, 0.042, 0.073, 0.000, 0.045, 0.012, 0.091, 0.008, 0.000, 0.033, 0.000]
|   64|0.9211|0.5000|0.2764|2.9423| - [0.441, 0.015, 0.000, 0.086, 0.056, 0.012, 0.020, 0.059, 0.000, 0.007, 0.042, 0.073, 0.000, 0.045, 0.012, 0.091, 0.008, 0.000, 0.033, 0.000]
|   65|0.9211|0.5000|0.2721|2.9233| - [0.441, 0.015, 0.000, 0.086, 0.056, 0.012, 0.020, 0.059, 0.000, 0.007, 0.042, 0.073, 0.000, 0.045, 0.012, 0.091, 0.008, 0.000, 0.033, 0.000]
