# Blotto run, B: 5, Rf: 0.00, Lf: 0.50 - 0.11 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.8750|0.5000|0.2358|2.0623| - [0.282, 0.382, 0.057, 0.201, 0.079]
|    2|0.8684|0.5000|0.2238|1.9498| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    3|0.8684|0.5000|0.2286|1.9382| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    4|0.7632|0.5000|0.1921|2.0497| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    5|0.9211|0.5000|0.2193|2.0966| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    6|0.9737|0.5000|0.2760|2.0109| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    7|0.9737|0.5000|0.2443|1.9542| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    8|0.9211|0.5000|0.2366|1.9212| - [0.347, 0.019, 0.240, 0.047, 0.347]
|    9|0.8684|0.5000|0.2202|1.8883| - [0.347, 0.019, 0.240, 0.047, 0.347]
|   10|0.7632|0.5000|0.2497|1.8832| - [0.347, 0.019, 0.240, 0.047, 0.347]
|   11|0.6316|0.5000|0.2202|1.8768| - [0.347, 0.019, 0.240, 0.047, 0.347]
|   12|0.9737|0.5000|0.2054|1.8738| - [0.358, 0.020, 0.248, 0.049, 0.326]
|   13|0.8947|0.5000|0.2218|1.8680| - [0.358, 0.020, 0.248, 0.049, 0.326]
|   14|0.7368|0.5000|0.2497|1.8757| - [0.358, 0.020, 0.248, 0.049, 0.326]
|   15|0.7895|0.5000|0.2469|1.8746| - [0.358, 0.020, 0.248, 0.049, 0.326]
|   16|0.6316|0.5000|0.2233|1.8728| - [0.358, 0.020, 0.248, 0.049, 0.326]
|   17|0.9737|0.5000|0.1829|1.8689| - [0.376, 0.021, 0.261, 0.000, 0.342]
|   18|0.8947|0.5000|0.2218|1.8283| - [0.376, 0.021, 0.261, 0.000, 0.342]
|   19|0.9737|0.5000|0.2686|1.7767| - [0.405, 0.022, 0.298, 0.000, 0.274]
