# Blotto run, B: 5, Rf: 1.00, Lf: 1.00 - 0.57 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.9750|0.5000|0.2883|2.0573| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    2|0.8421|0.5000|0.2810|1.8722| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    3|0.8684|0.5000|0.2464|1.7997| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    4|0.9211|0.5000|0.1823|1.8154| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    5|0.7895|0.5000|0.2549|1.8056| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    6|0.6316|0.5000|0.2202|1.7954| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    7|0.5000|0.5000|0.0000|1.7863| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    8|0.5000|0.5000|0.0000|1.7863| - [0.467, 0.015, 0.270, 0.047, 0.202]
|    9|0.5000|0.5000|0.0000|1.7863| - [0.467, 0.015, 0.270, 0.047, 0.202]
|   10|0.9737|0.5000|0.1116|1.7863| - [0.469, 0.015, 0.267, 0.047, 0.203]
|   11|0.9737|0.5000|0.1537|1.7861| - [0.480, 0.015, 0.249, 0.048, 0.208]
|   12|0.8158|0.5000|0.2699|1.7844| - [0.480, 0.015, 0.249, 0.048, 0.208]
|   13|0.5789|0.5000|0.1829|1.7825| - [0.480, 0.015, 0.249, 0.048, 0.208]
|   14|0.5526|0.5000|0.1534|1.7822| - [0.480, 0.015, 0.249, 0.048, 0.208]
|   15|0.5000|0.5000|0.0000|1.7818| - [0.480, 0.015, 0.249, 0.048, 0.208]
|   16|0.9737|0.5000|0.1116|1.7815| - [0.485, 0.016, 0.252, 0.048, 0.199]
|   17|0.9737|0.5000|0.2348|1.7791| - [0.499, 0.016, 0.259, 0.050, 0.176]
|   18|0.9737|0.5000|0.2510|1.7786| - [0.499, 0.016, 0.259, 0.050, 0.176]
|   19|0.8684|0.5000|0.2701|1.7738| - [0.499, 0.016, 0.259, 0.050, 0.176]
|   20|0.6316|0.5000|0.2202|1.7626| - [0.499, 0.016, 0.259, 0.050, 0.176]
|   21|0.5789|0.5000|0.1823|1.7607| - [0.499, 0.016, 0.259, 0.050, 0.176]
|   22|0.5263|0.5000|0.1116|1.7592| - [0.499, 0.016, 0.259, 0.050, 0.176]
|   23|0.9737|0.5000|0.1116|1.7512| - [0.552, 0.018, 0.286, 0.055, 0.089]
|   24|0.9737|0.5000|0.1537|1.7486| - [0.552, 0.018, 0.286, 0.055, 0.089]
|   25|0.9737|0.5000|0.2772|1.7072| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   26|0.7895|0.5000|0.2723|1.6814| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   27|0.5263|0.5000|0.1116|1.6291| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   28|0.5000|0.5000|0.0000|1.6248| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   29|0.5000|0.5000|0.0000|1.6248| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   30|0.5000|0.5000|0.0000|1.6248| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   31|0.5000|0.5000|0.0000|1.6248| - [0.574, 0.019, 0.258, 0.057, 0.093]
|   32|0.9737|0.5000|0.1116|1.6246| - [0.578, 0.019, 0.252, 0.058, 0.093]
|   33|0.9737|0.5000|0.1116|1.6246| - [0.578, 0.019, 0.252, 0.058, 0.093]
|   34|0.8947|0.5000|0.2038|1.6242| - [0.578, 0.019, 0.252, 0.058, 0.093]
|   35|0.9737|0.5000|0.2372|1.6154| - [0.615, 0.020, 0.268, 0.061, 0.035]
|   36|0.9737|0.5000|0.2578|1.5893| - [0.628, 0.020, 0.274, 0.063, 0.015]
|   37|0.9737|0.5000|0.2054|1.5819| - [0.628, 0.020, 0.274, 0.063, 0.015]
