# Blotto run, B: 5, Rf: 0.50, Lf: 0.00 - 0.11 sec 
+-----+------+------+------+------+ 
| gen | best | mean |  sd  | avgH | best strategy
+-----+------+------+------+------+ 
|    1|0.8250|0.5000|0.1309|2.1043| - [0.336, 0.003, 0.333, 0.304, 0.024]
|    2|0.9737|0.5000|0.1839|2.1507| - [0.336, 0.003, 0.333, 0.304, 0.024]
|    3|0.9737|0.5000|0.2116|2.1153| - [0.336, 0.003, 0.333, 0.304, 0.024]
|    4|0.9737|0.5000|0.2588|2.0843| - [0.336, 0.003, 0.333, 0.304, 0.024]
|    5|0.9737|0.5000|0.2017|1.9212| - [0.321, 0.005, 0.340, 0.310, 0.024]
|    6|0.9211|0.5000|0.2505|1.8803| - [0.321, 0.005, 0.340, 0.310, 0.024]
|    7|0.9474|0.5000|0.2661|1.8557| - [0.321, 0.005, 0.340, 0.310, 0.024]
|    8|0.9474|0.5000|0.2231|1.7582| - [0.321, 0.005, 0.340, 0.310, 0.024]
|    9|0.9474|0.5000|0.1829|1.7318| - [0.321, 0.005, 0.340, 0.310, 0.024]
|   10|0.8684|0.5000|0.2464|1.7345| - [0.321, 0.005, 0.340, 0.310, 0.024]
|   11|0.9737|0.5000|0.2483|1.7323| - [0.344, 0.003, 0.341, 0.287, 0.024]
|   12|0.9737|0.5000|0.2767|1.7348| - [0.344, 0.003, 0.341, 0.287, 0.024]
|   13|0.9474|0.5000|0.2053|1.7443| - [0.344, 0.003, 0.341, 0.287, 0.024]
|   14|0.8947|0.5000|0.2038|1.7446| - [0.344, 0.003, 0.341, 0.287, 0.024]
|   15|0.9737|0.5000|0.2549|1.7378| - [0.322, 0.003, 0.353, 0.297, 0.025]
|   16|0.8421|0.5000|0.2394|1.7355| - [0.322, 0.003, 0.353, 0.297, 0.025]
|   17|0.8158|0.5000|0.2711|1.7330| - [0.304, 0.003, 0.362, 0.305, 0.026]
|   18|0.9737|0.5000|0.2686|1.7337| - [0.305, 0.003, 0.363, 0.306, 0.024]
|   19|0.9211|0.5000|0.2228|1.7421| - [0.305, 0.003, 0.363, 0.306, 0.024]
|   20|0.7895|0.5000|0.2695|1.7332| - [0.305, 0.003, 0.363, 0.306, 0.024]
|   21|0.9737|0.5000|0.2588|1.7334| - [0.317, 0.003, 0.378, 0.276, 0.025]
|   22|0.9737|0.5000|0.1829|1.7309| - [0.317, 0.003, 0.378, 0.276, 0.025]
|   23|0.8684|0.5000|0.2202|1.7299| - [0.317, 0.003, 0.378, 0.276, 0.025]
